제목,저자,역자,출간일,페이지수,판매가
응용이 보이는 선형대수학 : 파이썬과 함께하는 선형대수학 이론과 응용,이건명,-,2023-01-02,592,"31,000"
"IT CookBook, 초연결 사회의 데이터통신과 네트워킹",강문식,-,2023-01-02,504,"29,000"
"IT CookBook, 쉽게 배우는 MFC 윈도우 프로그래밍","김선우, 신화선",-,2023-01-02,772,"30,000"
"IT CookBook, 인공지능 시대를 위한 컴퓨터 과학 개론",정기철,-,2023-01-02,520,"27,000"
"IT CookBook, 코틀린을 활용한 안드로이드 프로그래밍","우재남, 유혜림",-,2023-01-02,564,"34,000"
"IT CookBook, 처음 만나는 신재생에너지",김지홍,-,2023-01-02,388,"25,000"
프리드버그 선형대수학,"스티븐 H. 프리드버그, 아놀드 J. 인셀, 로렌스 E. 스펜스","한빛수학교재연구소, 심형보(감수)",2023-01-02,616,"35,000"
"IT CookBook, CentOS 리눅스",이종원,-,2023-01-02,792,"32,000"
"Microeconomics, 6th Edition, Asia Edition","David Besanko, Ronald Braeutigam",-,2023-01-02,856,"49,000"
정서노동과 행복,이동명,-,2023-01-02,364,"23,000"
누구나 파이썬 통계분석,타니아이 히로키,권기태,2023-01-02,384,"26,000"
4차산업혁명시대 신노사관계론,정형일,-,2023-01-02,592,"30,000"
회계원리,"김확열, 최상문",-,2023-01-02,186,"13,000"
제대로 배우는 MATLAB&Simulink,방성완,-,2023-01-02,576,"29,000"
의료관광론,고태규,-,2023-01-02,348,"25,000"
공학도를 위한 경영 : 4차 산업혁명 시대,하귀룡,-,2023-01-02,348,"25,000"
EXCEL로 구현해 보는 행렬회계,정용기,-,2023-01-02,552,"30,000"
벤처창업과 투자전략(개정판),정종용,-,2023-01-02,336,"22,000"
최신 마케팅,"고인곤, 성정연, 이성철, 이승희, 장형유, 허남일",-,2023-01-02,500,"30,000"
"SWedu 011, 앱 인벤터(2판) : 쉽고 재미있게 만드는 앱 프로그래밍",이종원,-,2023-01-02,408,"24,000"
"IT CookBook, 컴파일러의 이해 : 내공 있는 프로그래머로 길러주는 (증보판)",박두순,-,2023-01-02,508,"27,000"
"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed","하비 디텔, 폴 디텔, 데이빗 쇼픈스",송경희,2023-01-02,860,"32,000"
처음 배우는 통계학,"이호선, 유현미, 김종배",-,2023-01-02,404,"27,000"
기초수학 : Basic Mathematics(2판),이재원,-,2023-01-02,312,"20,000"
"IT CookBook, 4차 산업혁명 시대의 정보통신개론",고응남,-,2023-01-02,600,"25,000"
"IT CookBook, UI 디자인과 프로토타이핑을 위한 Adobe XD",이영주,-,2023-01-02,552,"27,000"
"IT CookBook, UI/UX 디자인 이론과 실습 with Adobe XD",이영주,-,2023-01-02,560,"28,000"
"IT CookBook, 객체 지향 설계와 분석을 위한 UML 기초와 응용","한정수, 김귀정",-,2023-01-02,336,"24,000"
"IT CookBook, 리눅스 실습 for Beginner",우재남,-,2023-01-02,488,"24,000"
"IT CookBook, 비주얼 베이직 2019 입문",임관철,-,2023-01-02,436,"25,000"
"IT CookBook, 스크래치로 배우는 컴퓨팅 사고","조성호, 고광일",-,2023-01-02,384,"21,000"
"IT CookBook, 엑셀로 배우는 데이터 분석",박주미,-,2023-01-02,480,"21,000"
"IT CookBook, 초연결 사회를 위한 컴퓨터 개론",조성호,-,2023-01-02,538,"26,000"
NO BULLSHIT 선형대수학 가이드,Ivan Savov,"김대정, 모현선, 배준우",2023-01-02,628,"28,000"
NO BULLSHIT 수학&물리 가이드,Ivan Savov,권기영,2023-01-02,568,"28,000"
정보교과교육론(2판),"이태욱, 최현종, 전용주",-,2023-01-02,464,"27,000"
실무로 완성하는 PLC(멜섹Q) : 서보를 이용한 위치 제어,정완보,-,2023-01-02,568,"28,000"
"College Physics, 5th Edition",Alan Giambattista,-,2023-01-02,1232,"52,000"
Stata로 끝내는 논문,정규형,-,2023-01-02,372,"25,000"
"Business Statistics: For Contemporary Decision Making, 10th Edition, Asia Edition",Ken Black,-,2023-01-02,832,"49,000"
"IT CookBook, 유닉스 이론과 실습(3판)","이종원, 윤소정",-,2023-01-02,568,"25,000"
"IT CookBook, 경영경제통계학",유영태,-,2023-01-02,472,"28,000"
"Swedu, 정보적 사고에서 인공 지능까지",김현철,-,2023-01-02,184,"19,000"
"IT CookBook, 문제 해결력을 키우는 디자인 씽킹","이정현, 송태란",-,2023-01-02,300,"22,000"
직무·인사시스템과 인적자원관리,이춘우,-,2023-01-02,678,"32,000"
경영이란 무엇인가,이건창,-,2023-01-02,200,"20,000"
K-IFRS 회계 트래킹,최진현,-,2023-01-02,412,"25,000"
자재 재고관리 이론과 실제,김정,-,2023-01-02,181,"15,000"
"IT CookBook, 모두를 위한 R 데이터 분석 입문",오세종,-,2023-01-02,480,"26,000"
경영조직론,"변상우, 박형근",-,2023-01-02,382,"27,000"
쉽고 재미있는 창업회계,"정재권, 이장희, 곽종민",-,2023-01-02,410,"28,000"
의사결정을 위한 현대통계학,"강병서, 조철호, 이은지, 김병희",-,2023-01-02,549,"30,000"
인적자원관리,"변상우, 윤두열",-,2023-01-02,475,"28,000"
인적자원관리론,"양춘희, 신형재, 권용만, 정용배",-,2023-01-02,372,"27,000"
"IT CookBook, 최신 컴퓨터 구조","임석구, 홍경호",-,2023-01-02,616,"28,000"
"IT CookBook , MySQL로 배우는 데이터베이스 개론과 실습","박우창, 남송휘, 이현룡",-,2023-01-02,572,"27,000"
그림으로 배우는 기초통계학(제4판),박상규,-,2023-01-02,410,"27,000"
"IT CookBook, HTML5 웹 프로그래밍 입문(3판)",윤인성,-,2023-01-02,488,"26,000"
"IT CookBook, 컴퓨터 활용과 실습 2016",김주영,-,2023-01-02,520,"24,000"
"IT Cookbook, 처음 만나는 전자회로",황형수,-,2023-01-02,440,"24,000"
스트랭 미분방정식과 선형대수학,Gilbert Strang,한빛수학교재연구소,2023-01-02,552,"30,000"
"IT CookBook, 네트워크 개론(3판)",진혜진,-,2023-01-02,516,"25,000"
"IT CookBook, 텐서플로로 배우는 딥러닝","박혜정, 석경하, 심주용, 황창하",-,2023-01-02,448,"27,000"
"IT CookBook, 파워포인트 2016",김지연,-,2023-01-02,420,"19,000"
"SWedu, 스크래치 3.0 : 컴퓨팅 사고력을 키우는 블록 코딩",고광일,-,2023-01-02,392,"22,000"
"IT CookBook, design school 포토샵 & 일러스트레이터 CC 2019",이영주,-,2023-01-02,616,"23,000"
"IT CookBook, PHP 프로그래밍 입문(3판)",황재호,-,2023-01-02,456,"25,000"
칼만 필터는 어렵지 않아 with MATLAB Examples,김성필,-,2023-01-02,256,"26,000"
"IT CookBook, R로 배우는 데이터 과학","양윤석, 오일석, 강래형",-,2023-01-02,440,"27,000"
"IT CookBook, design school 포토샵 CC 2019",이영주,-,2023-01-02,540,"22,000"
마켓 4.0시대의 마케팅원론,"신건철, 김종락, 박지형, 김시영",-,2023-01-02,530,"34,000"
경영학원론(제5판),이기호,-,2023-01-02,351,"24,000"
마켓 4.0시대의 온라인 커머스전략,김종락,-,2023-01-02,382,"26,000"
세계화 4.0 시대의 무역개론(제6판),이장로,-,2023-01-02,468,"29,000"
제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS (개정증보판),노경섭,-,2023-01-02,460,"28,000"
이산수학 : tool 중심으로 이해하는 새로운 시각,박두순,-,2023-01-02,484,"24,000"
"IT CookBook, 따라 하면서 배우는 마이크로컨트롤러",허경용,-,2023-01-02,528,"28,000"
스트랭 미분적분학,Gilbert Strang,한빛수학교재연구소,2023-01-02,872,"34,000"
"IT CookBook, 데이터 과학을 위한 파이썬 프로그래밍",최성철,-,2023-01-02,536,"25,000"
"IT CookBook, 데이터베이스 for Beginner",우재남,-,2023-01-02,520,"24,000"
한번에 통과하는 논문 : AMOS 구조방정식 활용과 SPSS 고급 분석,히든그레이스 논문통계팀,-,2023-01-02,536,"28,000"
공학도라면 반드시 알아야 할 최소한의 과학,John Bird,권기영,2023-01-02,456,"24,000"
