plylstSeq,title,tag,like,songIds
515934171,꼭 들어봐야 할 발라드 명곡 100선, #발라드 #명곡 #감성 #가을 #인디 #새벽 #이별 #사랑 #슬픈노래 #이별노래 ,61,485716 35527167 35643794 2738244 31703498 31324607 4543502 32298623 32080223 837567 2535056 32156286 3910821 8083210 31406357 538118 30962526 30669593 32491274 32224135 33061995 31314144 1798588 732373 2347151 8060956 35484543 33107649 33496587 35655266 33059244 445413 2425149 32794652 35689984 34657844 35557203 33014015 32224409 3620493 3758104 732519 34431086 3422254 33248758 34787226 420534 34908740 1563237 8203900
500292827,여유로운 날을 더 기분 좋게 해줄 산뜻한 어쿠스틱 pop~✿, #어쿠스틱 #기분전환 #휴식 #가을 #산책 #출근 #집중 #카페 #커피 #여유로운 ,1769,34301670 32205655 33625333 32579561 34673729 31611901 33341140 31796916 33525325 32784303 32788147 32041239 31306426 32468929 32993722 31686009 34030489 3550732 34024164 3526881 27007491 32702712 32611785 33359309 31926212 31842224 30970713 33021313 33156422 31425717 31462697 30591481 33235605 31445222 30997222 33576559 31579232 3982711 32778746 32794203 27005107 33038030 32327388 32475989 31441144 30818558 32108211 31905027 31484040 31720818
401508804,PLAYLIST l 여자들 취향저격하는 달달한 노래, #달달 #사랑 #힐링 #명곡 #가을 #봄 #설렘 ,18403,33517367 33180359 33453441 32621521 31602252 33410939 33210835 33347390 33177639 33293837 33011180 31923316 32118816 32092551 31986237 32153605 33304842 31868918 33333967 33221521 30099931 32081870 32083482 31918207 32091559 32071824 31867659 30894300 31736951 32280902 31779536 32036140 31788795 31774187 31770213 32061976 31749294 31899298 31885866 32042705 31726259 32090698 31726952 31695072 31678594 31686915 32095592 32075432 30198630 31475818
515692127,감성 가득한 브이로그 느낌의 팝송 들으며 가을 캠핑 즐기기, #가을 #캠핑 #브이로그 #팝송 #여유로운 #감성 #잔잔한 ,130,1860268 4835818 32064517 30208031 8037849 32814662 32345824 32614842 31411041 33331908 33160676 33473051 30102883 33502105 33879383 31926213 32579561 18496602 32974285 14040375 33628108 32416094 32985215 31478956 32645969 30883087 33939890 32651064 1547843 1756326 31768993 32813194 35324322 30102864 33570846 30059615 32528018 4743560 33991272 31773595 33236992 31069605 32933487 33077054 34041471 31614598 2531503 33386978 31338917 30908778
509626704,어스러지는 노을을 바라보며 듣는 주홍빛 감성 POP, #노을 #감성 #센치한 #드라이브 #가을 #힐링 #휴식 #위로 #기분전환 #해질녘 ,401,34858926 32393410 32077651 30982787 21626672 30224089 32497334 32966383 30664026 34815106 32205473 32523041 33613508 32610237 32916771 33572089 31102922 33431408 8285284 34992357 33617971 32948811 33050956 33901868 2264460 32083449 31829303 32854910 32909362 33992136 32986978 32282190 34786790 31306681 34570275 31947527 31384968 32884559 32560371 33030293 33487212 35158184 33080608 33143047 33068750 34591817 34878273 33972514 31045136 31719428
500072649,재즈 카페 사장님의 가을 플리, #카페 #재즈 #가을 #연주음악 #홈카페 #힐링 #낭만 ,62,1776293 33391530 3176279 4096639 4288787 1121976 1627876 18520863 1934376 33785817 3721471 30011298 33960019 1265507 7385920 658645 32667127 3037612 101587232 1874258 5566886 3007701 1776289 31775222 33391533 2294463 101597198 1934383 32667130
100123440,♩가을에듣기좋은 명품 리메이크, #가을 #잔잔한 #리메이크 ,5455,5667586 32081478 35707523 35709043 35668510 32620040 34997081 30777979 34535888 8026845 34942330 30660281 34859153 34827609 34752959 2605839 854323 34726067 34701996 34662292 34592758 34533089 34378248 34368534 34365739 34359752 34310036 34300598 34298679 34215888 34209613 34194593 34174456 34095149 34063179 34054053 34022599 33975400 33955533 33950319 33878014 33772754 33754777 33740412 33723640 33720891 33715522 33699116 33677275 33667950
411640228,서정적인 느낌이 드는 잔잔한 풍경 같은 팝, #서정적 #여유 #팝 #Pop #감성 #나른한 #편안한 #힐링 #카페 #가을 ,8367,31428182 4326379 1907909 888197 2990835 4699126 4190298 5546438 4699121 2021842 4146809 1977250 3610238 1135669 30015104 5395006 1722472 2689552 3673260 3664293 4406827 530251 3749373 30398933 3773427 5310164 1590576 2361823 30367325 888199 1590592 30059615 1811128 4660794 932130 3645801 838124 5806809 888190 3913018 1590578 1468101 2266830 932131 3603214 4133141 800717 795047 1820786 838125
483955249,이 미운 세상에 너만이 좋았어, #감성 #사랑 #인디 #노을 #카페 #설렘 #가을 #겨울 #휴식 #잔잔한 ,1551,35663005 33081239 35636896 33311299 33297381 35644241 30567961 35472932 30717174 35331587 35224398 33646770 34631250 34626600 34809882 35198093 32936122 31646379 33467980 32431492 30619341 33245721 34187533 930739 33297386 33421191 2603554 34187532 30117192 33904491 30944695 34748910 31842744 1844278 34689425 31110771 33188505 33129963 31063366 33245716 34071577 33819323 34367511 34367166 5385973 34428223 33340515 34451918 34502757 34513479
483759285,"바람이 솔솔 부는 저녁, 노을을 바라보며 들을 플레이리스트", #저녁 #버스안에서 #창밖 #바라보며 #하늘 #노을 #위로 #가을 #신나지만 #위로가_되는_노래 ,84,33816658 34183063 33865951 33979731 33901868 33939890 33810525 33694275 30257703 33660018 33729836 33660019 33579401 33520259 33507852 33660017 33307010 33507090 33456222 33437580 33429070 33404031 33396734 32573882 33351887 32190200 32441419 33188363 33119303 32703195 4184832 30622401 32918760 30144618 32859501 33061623 5454537 31705614 31773522 32962245 30208019 30614272 32243273 3929471 32243275 31358509 31363760 32357931 30072072 32249644
520166585,"[playlist] 어떤 장르보다 더 깊게, 감성있는 인디", #한국인디 #가을에 #감성_자극하는 #생각많은밤 ,14,35336632 32818944 31221130 30932739 30806580 36298734 2720266 32341976 34431322 32711456 32050011 31469283 30117197 32030964 34720940 32374061 34547880 35200856 3482051 32651484 30755108 32596781 32158963 30388627 32833765 33520259 33146542 30193472 31399734 32922505 33049986 33742930 33379903 34811932 30978974 31309962
515643339,2012-2014, #기분전환 #가을 ,31,4562881 4383773 4400561 4503810 4693165 4633162 4454382 4471542 4193337 4771771 4635740 4382254 5473905 4840271 4764928 4671151 4818649 4721314 4516940 5456521 4105654 4117691 4014340 4064020 4262252 4030174 4099280 4085875 4734486 4756304 4308010 4212184 4152253 4294284 4184826 4001331 4054983 4148967 4024692 4138606 4163116 3853978 3763493 3837683 3715676 3663978 3783041 3815739 3630755 3713013
433179875,♡ 가을&발라드 2000년대 명품발라드 100곡(소장용) ♡, #가을 #발라드 #2000년대발라드 #추억 ,7373,623902 460396 711626 89806 665226 418253 2043348 444956 1576735 19807 866705 905857 32574 499229 26378 492854 505376 111209 8302 1116679 9573 483377 3743 1094161 432309 537750 984646 105006 111413 432357 104099 104184 10435 473438 445413 429656 316434 420534 105899 91380 434507 1490825 1622996 19091 62619 2025249 527575 485716 519620 105644
502038680,추억의 싸이월드 탑골 발라드 남자편, #가을 #싸이월드 #추억 #발라드 ,22,517488 1649190 1773276 83443 159405 159881 848004 1778667 1521180 1670947 2546258 1632405 3793378 851719 1890405 978136 419338 469788 2194773 500796 4312920 425626 1623005 489055 505376 111209 32574 2019681 1804274 1454597 665231 108188 3910821 31532642 485716 898497 499229 316304 2025250 521068 91336 490201 422511 527583 1107022 2347066 433351 83093 1177939 420037
